"Name","DisplayName","Enabled","Direction","Action"
"Microsoft-Windows-Enrollment-WinRT-TCP-Out","Windows Device Management Enrolment Service (TCP out)","True","Outbound","Allow"
"SNMPTRAP-In-UDP-NoScope","SNMP Trap Service (UDP In)","False","Inbound","Allow"
"WMI-ASYNC-In-TCP","Windows Management Instrumentation (ASync-In)","False","Inbound","Allow"
"CoreNet-Diag-ICMP4-EchoRequest-Out-NoScope","Core Networking Diagnostics - ICMP Echo Request (ICMPv4-Out)","False","Outbound","Allow"
"MDNS-Out-UDP-Public-Active","mDNS (UDP-Out)","True","Outbound","Allow"
"WMI-WINMGMT-In-TCP","Windows Management Instrumentation (WMI-In)","False","Inbound","Allow"
"RemoteFwAdmin-RPCSS-In-TCP","Windows Defender Firewall Remote Management (RPC-EPMAP)","False","Inbound","Allow"
"PerfLogsAlerts-PLASrv-In-TCP","Performance Logs and Alerts (TCP-In)","False","Inbound","Allow"
"WINRM-HTTP-In-TCP","Windows Remote Management (HTTP-In)","True","Inbound","Allow"
"DeliveryOptimization-TCP-In","Delivery Optimization (TCP-In)","True","Inbound","Allow"
"MSDTC-Out-TCP-NoScope","Distributed Transaction Co-ordinator (TCP-Out)","False","Outbound","Allow"
"NETDIS-NB_Name-In-UDP","Network Discovery (NB-Name-In)","False","Inbound","Allow"
"vm-monitoring-rpc","Virtual Machine Monitoring (RPC)","False","Inbound","Allow"
"CoreNet-ICMP6-LD-Out","Core Networking - Multicast Listener Done (ICMPv6-Out)","True","Outbound","Allow"
"Microsoft-Windows-DeviceManagement-CertificateInstall-TCP-Out","Windows Device Management Certificate Installer (TCP out)","True","Outbound","Allow"
"MsiScsi-In-TCP","iSCSI Service (TCP-In)","False","Inbound","Allow"
"RemoteAssistance-PnrpSvc-UDP-In-EdgeScope","Remote Assistance (PNRP-In)","False","Inbound","Allow"
"RRAS-PPTP-In-TCP","Routing and Remote Access (PPTP-In)","False","Inbound","Allow"
"CoreNet-Teredo-Out","Core Networking - Teredo (UDP-Out)","True","Outbound","Allow"
"RVM-VDS-In-TCP","Remote Volume Management - Virtual Disk Service (RPC)","False","Inbound","Allow"
"TPMVSCMGR-Server-In-TCP-NoScope","TPM Virtual Smart Card Management (TCP-In)","False","Inbound","Allow"
"WMI-WINMGMT-Out-TCP","Windows Management Instrumentation (WMI-Out)","False","Outbound","Allow"
"NETDIS-NB_Datagram-In-UDP-NoScope","Network Discovery (NB-Datagram-In)","False","Inbound","Allow"
"vm-monitoring-dcom","Virtual Machine Monitoring (DCOM-In)","False","Inbound","Allow"
"CoreNet-ICMP6-RS-In","Core Networking - Router Solicitation (ICMPv6-In)","True","Inbound","Allow"
"WMI-RPCSS-In-TCP","Windows Management Instrumentation (DCOM-In)","False","Inbound","Allow"
"WirelessDisplay-Infra-In-TCP","Wireless Display Infrastructure Back Channel (TCP-In)","True","Inbound","Allow"
"PNRPMNRS-SSDPSrv-Out-UDP","Windows Collaboration Computer Name Registration Service (SSDP-Out)","False","Outbound","Allow"
"NETDIS-FDRESPUB-WSD-In-UDP-Active","Network Discovery (Pub-WSD-In)","True","Inbound","Allow"
"NETDIS-WSDEVNTS-Out-TCP","Network Discovery (WSD EventsSecure-Out)","False","Outbound","Allow"
"CoreNet-GP-LSASS-Out-TCP","Core Networking - Group Policy (LSASS-Out)","True","Outbound","Allow"
"Microsoft-Windows-Troubleshooting-HTTP-HTTPS-Out","Recommended Troubleshooting Client (HTTP/HTTPS Out)","True","Outbound","Allow"
"RemoteTask-RPCSS-In-TCP-NoScope","Remote Scheduled Tasks Management (RPC-EPMAP)","False","Inbound","Allow"
"RemoteAssistance-PnrpSvc-UDP-In-EdgeScope-Active","Remote Assistance (PNRP-In)","True","Inbound","Allow"
"NETDIS-UPnPHost-Out-TCP-NoScope","Network Discovery (UPnP-Out)","False","Outbound","Allow"
"Collab-PNRP-In-UDP","Windows Peer to Peer Collaboration Foundation (PNRP-In)","False","Inbound","Allow"
"DIAL-Protocol-Server-In-TCP-NoScope","DIAL protocol server (HTTP-In)","True","Inbound","Allow"
"NETDIS-WSDEVNT-In-TCP-NoScope","Network Discovery (WSD Events-In)","False","Inbound","Allow"
"RemoteSvcAdmin-RPCSS-In-TCP-NoScope","Remote Service Management (RPC-EPMAP)","False","Inbound","Allow"
"WMI-ASYNC-In-TCP-NoScope","Windows Management Instrumentation (ASync-In)","False","Inbound","Allow"
"NETDIS-WSDEVNT-Out-TCP-NoScope","Network Discovery (WSD Events-Out)","False","Outbound","Allow"
