"Timestamp","Source","Event","Details"
"07-08-2025 16:06:43","FileSystem","File Modified","xml_file (287).xml"
"07-08-2025 16:06:43","FileSystem","File Modified","xml_file (288).xml"
"07-08-2025 16:07:43","FileSystem","File Modified","xml_file (289).xml"
"07-08-2025 16:07:43","FileSystem","File Modified","xml_file (290).xml"
"07-08-2025 16:08:43","FileSystem","File Modified","xml_file (291).xml"
"07-08-2025 16:08:43","FileSystem","File Modified","xml_file (292).xml"
"07-08-2025 16:09:44","FileSystem","File Modified","xml_file (293).xml"
"07-08-2025 16:09:44","FileSystem","File Modified","xml_file (294).xml"
"07-08-2025 16:10:44","FileSystem","File Modified","xml_file (295).xml"
"07-08-2025 16:10:44","FileSystem","File Modified","xml_file (296).xml"
"07-08-2025 16:13:41","FileSystem","File Modified","mat-debug-9892.log"
"07-08-2025 18:07:27","FileSystem","File Modified","ForensicPackage_20250807_180723.zip"
"07-08-2025 18:11:47","FileSystem","File Modified","cv_debug.log"
"07-08-2025 18:20:26","FileSystem","File Modified","ef78db0c-31dd-48aa-8f44-ea1a9829e926.tmp"
"07-08-2025 18:27:37","FileSystem","File Modified","mde_test_marker_8bdd81b5-86e8-4dd4-9613-9dfe427be5e7.txt"
"07-08-2025 18:27:48","FileSystem","File Modified","version.dll"
"07-08-2025 18:27:48","FileSystem","File Modified","mscoree.dll"
"07-08-2025 18:27:48","FileSystem","File Modified","cryptsp.dll"
"07-08-2025 18:28:11","FileSystem","File Modified","RESTORE_FILES.txt"
