"TimeCreated","Id","LevelDisplayName","Message"
"07-08-2025 16:15:00","1035","Information","Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2022 X64 Additional Runtime - 14.36.32532. Product Version: 14.36.32532. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0."
"07-08-2025 16:10:18","16384","Information","Successfully scheduled Software Protection service for re-start at 2025-08-08T09:40:18Z. Reason: RulesEngine."
"07-08-2025 16:09:40","16394","Information","Offline downlevel migration succeeded."
"07-08-2025 16:06:27","1001","Information","Fault bucket 1879272884602824792, type 5
Event Name: RADAR_PRE_LEAK_64
Response: Not available
Cab Id: 0

Problem signature:
P1: powershell_ise.exe
P2: 10.0.26100.1591
P3: 10.0.26100.2.0.0
P4: 
P5: 
P6: 
P7: 
P8: 
P9: 
P10: 

Attached files:
\\?\C:\Users\Admin\AppData\Local\Temp\RDR455E.tmp\empty.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.9c1826f9-e27f-4869-b460-d5f88e6f2df6.tmp.WERInternalMetadata.xml
WPR_initiated_DiagTrackMiniLogger_OneTrace_User_Logger_20240808_1_EC_0_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.c02cbb39-95f8-4663-a349-7b537f0cdb48.tmp.etl
WPR_initiated_DiagTrackMiniLogger_WPR System Collector_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.c0dbe184-b18f-4e24-a740-c3700e8693b3.tmp.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.e6e2856e-a689-4110-a443-92f3c9d89449.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.34951563-f600-48eb-9183-99945f17618f.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.7cae298d-93d7-451f-931a-e8162b34ba9b.tmp.xml

These files may be available here:
NULL

Analysis symbol: 
Rechecking for solution: 0
Report Id: 8f736135-0348-4b3a-a73a-6ce02012f1b0
Report Status: 268435456
Hashed bucket: c43fcc8f3b84af814a1484bb52c66858
Cab Guid: 0"
"07-08-2025 15:58:28","15","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_SNOOZED."
"07-08-2025 15:58:26","15","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_SNOOZED."
"07-08-2025 15:58:24","15","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_SNOOZED."
"07-08-2025 15:58:22","15","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_SNOOZED."
"07-08-2025 15:52:32","15","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"07-08-2025 15:52:30","15","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"07-08-2025 15:43:17","16384","Information","Successfully scheduled Software Protection service for re-start at 2025-08-08T09:40:17Z. Reason: RulesEngine."
"07-08-2025 15:42:47","16394","Information","Offline downlevel migration succeeded."
"07-08-2025 15:12:17","256","Information","[10168:6568:0807/151217.594:INFO:chrome\browser\extensions\extension_garbage_collector.cc:184] Garbage collection for extensions on file thread is complete."
"07-08-2025 15:11:45","16384","Information","Successfully scheduled Software Protection service for re-start at 2025-08-08T09:40:45Z. Reason: RulesEngine."
"07-08-2025 15:11:12","8198","Error","License Activation (slui.exe) failed with the following error code:
hr=0x803F7001
Command-line arguments:
RuleId=31e71c49-8da7-4a2f-ad92-45d98a1c79ba;Action=AutoActivate;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=4de7cb65-cdf1-4de9-8ae8-e3cce27b9f2c;NotificationInterval=1440;Trigger=UserLogon;SessionId=2"
